t,y_t
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
40,40
41,41
42,42
43,43
44,44
45,45
46,46
47,47
48,48
49,49
50,50
51,51
52,52
53,53
54,54
55,55
56,56
57,57
58,58
59,59
60,60
61,61
62,62
63,63
64,64
65,65
66,66
67,67
68,68
69,69
70,70
71,71
72,72
73,73
74,74
75,75
76,76
77,77
78,78
79,79
80,80
81,81
82,82
83,83
84,84
85,85
86,86
87,87
88,88
89,89
90,90
91,91
92,92
93,93
94,94
95,95
96,96
97,97
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,80
106,0
107,0
108,0
109,1
110,2
111,3
112,4
113,5
114,6
115,7
116,8
117,9
118,10
119,11
120,12
121,13
122,14
123,15
124,16
125,17
126,18
127,19
128,20
129,21
130,22
131,23
132,24
133,25
134,26
135,27
136,28
137,29
138,30
139,31
140,32
141,33
142,34
143,35
144,36
145,37
146,38
147,39
148,40
149,41
150,42
151,43
152,44
153,45
154,46
155,47
156,48
157,49
158,50
159,51
160,52
161,53
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,49
173,50
174,51
175,52
176,53
177,54
178,55
179,56
180,57
181,58
182,59
183,60
184,61
185,62
186,63
187,64
188,65
189,66
190,67
191,68
192,69
193,70
194,71
195,72
196,73
197,74
198,75
199,76
200,77
201,78
202,79
203,80
204,81
205,82
206,83
207,84
208,85
209,86
210,87
211,88
212,89
213,90
214,91
215,92
216,93
217,94
218,95
219,96
220,97
221,98
222,99
223,100
224,101
225,102
226,103
227,104
228,105
229,106
230,107
231,108
232,109
233,110
234,111
235,112
236,113
237,114
238,115
239,116
240,117
241,118
242,119
243,120
244,121
245,122
246,123
247,124
248,125
249,126
250,127
251,128
252,129
253,130
254,131
255,132
256,133
257,134
258,135
259,136
260,137
261,138
262,139
263,140
264,141
265,142
266,143
267,144
268,145
269,146
270,147
271,148
272,149
273,150
274,151
275,152
276,153
277,154
278,155
279,156
280,157
281,158
282,159
283,160
284,161
285,162
286,163
287,164
288,165
289,166
290,167
291,168
292,169
293,170
294,171
295,172
296,173
297,174
298,175
299,176
300,177
301,178
302,179
303,180
304,181
305,182
306,183
307,184
308,185
309,186
310,187
311,188
312,189
313,190
314,191
315,192
316,193
317,194
318,195
319,196
320,197
321,198
322,0
323,200
324,201
325,202
326,203
327,204
328,205
329,206
330,207
331,208
332,209
333,210
334,211
335,212
336,213
337,214
338,215
339,216
340,0
341,1
342,2
343,3
344,4
345,5
346,6
347,7
348,8
349,9
350,10
351,11
352,12
353,13
354,14
355,15
356,16
357,17
358,18
359,19
360,20
361,21
362,22
363,23
364,24
365,25
366,26
367,27
368,28
369,29
370,30
371,31
372,32
373,33
374,34
375,35
376,36
377,37
378,38
379,39
380,40
381,41
382,42
383,43
384,44
385,45
386,46
387,47
388,48
389,49
390,50
391,51
392,52
393,53
394,54
395,55
396,56
397,57
398,58
399,59
400,60
401,61
402,62
403,63
404,64
405,65
406,66
407,67
408,68
409,69
410,70
411,71
412,72
413,73
414,74
415,75
416,76
417,77
418,78
419,79
420,80
421,81
422,82
423,83
424,84
425,85
426,86
427,87
428,88
429,89
430,90
431,91
432,92
433,93
434,94
435,95
436,96
437,97
438,98
439,99
440,100
441,101
442,102
443,103
444,104
445,105
446,106
447,107
448,108
449,109
450,110
