"t","y_t"
1,13.054
2,13.105
3,13.105
4,13.039
5,13.039
6,13.117
7,13.117
8,13.117
9,18.431
10,18.519
11,18.519
12,18.57
13,18.57
14,18.516
15,18.516
16,17.862
17,17.909
18,16.187
19,16.121
20,9.704
21,9.737
22,9.866
23,9.878
24,9.812
25,9.812
26,9.89
27,9.89
28,9.89
29,9.726
30,12.401
31,12.401
32,12.401
33,12.452
34,12.415
35,12.595
36,12.817
37,15.454
38,15.454
39,15.388
40,15.388
41,15.388
42,15.232
43,15.283
44,17.532
45,14.413
46,13.693
47,13.715
48,13.649
49,14.483
50,14.582
51,14.582
52,14.508
53,14.601
54,14.515
55,14.515
56,14.685
57,14.711
58,14.629
59,11.464
60,11.51
61,2.054
62,2.054
63,2.051
64,7.365
65,7.377
66,7.491
67,7.551
68,7.551
69,7.485
70,5.987
71,5.987
72,5.987
73,6.038
74,5.972
75,6.062
76,5.408
77,5.488
78,5.488
79,12.346
80,12.205
81,12.205
82,12.205
83,12.205
84,12.19
85,12.19
86,12.268
87,12.28
88,12.28
89,12.214
90,12.302
91,12.302
92,12.302
93,12.302
94,12.279
95,12.279
96,5.892
97,5.892
98,6.113
99,6.047
100,6.047
101,6.047
102,6.047
103,6.047
104,6.032
105,6.044
106,5.39
107,5.227
108,5.011
109,4.729
110,7.2
111,7.212
112,7.296
113,7.296
114,7.281
115,7.281
116,7.359
117,7.359
118,7.359
119,12.673
120,12.677
121,12.677
122,12.677
123,12.677
124,12.674
125,12.686
126,12.764
127,12.764
128,14.102
129,14.036
130,14.124
131,14.124
132,14.136
133,14.136
134,14.121
135,14.121
136,13.467
137,13.575
138,13.575
139,13.509
140,13.509
141,13.488
142,13.488
143,13.488
144,13.473
145,13.473
146,13.551
147,13.551
148,13.551
149,13.485
150,16.172
151,16.974
152,16.98
153,16.98
154,16.914
155,10.332
156,10.41
157,10.47
158,10.47
159,10.404
160,10.404
161,10.404
162,10.404
163,10.404
164,10.338
165,10.389
166,9.735
167,9.774
168,9.774
169,9.708
170,9.788
171,9.8
172,9.8
173,9.812
174,15.126
175,15.177
176,15.255
177,15.267
178,15.267
179,16.58
180,16.626
181,16.626
182,16.672
183,16.718
184,16.652
185,16.703
186,16.827
187,16.827
188,16.827
189,NA
190,NA
191,NA
192,NA
193,NA
194,NA
195,NA
196,NA
197,NA
198,NA
199,NA
200,NA
201,NA
202,NA
203,NA
204,NA
205,NA
206,NA
207,NA
208,NA
209,NA
210,NA
211,NA
212,NA
213,NA
214,NA
215,NA
216,NA
217,NA
218,NA
219,NA
220,NA
221,NA
222,NA
223,NA
224,NA
225,NA
226,NA
227,NA
228,NA
229,NA
230,NA
231,NA
232,NA
233,NA
234,NA
235,NA
236,NA
237,NA
238,NA
239,NA
240,NA
241,NA
242,NA
243,NA
244,NA
245,NA
246,NA
247,NA
248,NA
249,NA
250,29.186
251,29.252
252,29.252
253,30.152
254,30.086
255,30.086
256,29.483
257,29.521
258,29.521
259,32.348
260,76.55
261,76.541
262,76.541
263,76.541
264,76.475
265,76.475
266,76.553
267,73.969
268,73.981
269,73.817
270,76.2
271,81.443
272,81.443
273,81.443
274,81.377
275,81.266
276,81.344
277,81.395
278,81.395
279,81.219
280,81.329
281,81.329
282,81.657
283,82.265
284,87.645
285,87.579
286,87.355
287,87.477
288,87.477
289,87.477
290,87.491
291,81.038
292,81.062
293,81.098
294,81.098
295,81.032
296,81.331
297,81.226
298,81.226
299,81.226
300,81.16
301,81.16
302,81.16
303,81.16
304,81.16
305,81.182
306,81.272
