"t","y_t"
1,0.144
2,-2.73
3,9.005
4,23.535
5,23.571
6,23.615
7,23.471
8,21.698
9,480.221
10,534.799
11,534.775
12,534.799
13,534.909
14,535.113
15,535.191
16,535.906
17,535.906
18,535.604
19,535.808
20,535.992
21,535.71
22,535.71
23,535.595
24,728.891
25,1051.747
26,1050.11
27,1050.207
28,1051.371
29,1051.514
30,1051.634
31,1051.604
32,1049.064
33,1057.747
34,1057.873
35,1057.969
36,1057.201
37,1057.249
38,1549.325
39,2755.2
40,3701.543
41,3701.523
42,3701.379
43,3700.886
44,3700.97
45,3701.04
46,3701.09
47,3701.144
48,3701.288
49,3701.324
50,3701.533
51,3701.473
52,3701.485
53,3701.485
54,4189.751
55,4211.223
56,4211.217
57,4211.229
58,4211.26
59,4211.338
60,4210.916
61,4210.856
62,4211.077
63,4213.038
64,4213.116
65,4213.132
66,4211.435
67,4211.435
68,4210.703
69,4759.844
70,4758.295
71,4758.253
72,4758.253
73,4757.819
74,4757.933
75,4758.009
76,4757.979
77,4758.088
78,4758.16
79,4758.182
80,4758.248
81,4758.242
82,4758.302
83,4758.314
84,4758.471
85,5298.721
86,5298.655
87,5298.667
88,5298.667
89,5298.721
90,5298.751
91,5298.709
92,5298.823
93,5307.216
94,6101.034
95,7135.864
96,7458.86
97,7458.872
98,7458.183
99,7458.195
100,7458.342
101,7458.354
102,7458.378
103,7457.683
104,7457.761
105,7457.815
106,7460.364
107,7460.364
108,7460.166
109,7460.166
110,7460.178
111,7460.44
112,7460.95
113,7460.396
114,7649.697
115,8037.217
116,8037.163
117,8037.21
118,8037.156
119,8037.159
120,8037.231
121,8037.309
122,8037.375
123,8037.979
124,8038.153
125,8038.153
126,8032.168
127,8032.694
128,8032.698
129,8032.08
130,8040.03
131,8038.993
132,8038.842
133,8038.262
134,8039.24
135,8039.305
136,8039.263
137,8039.287
138,8039.181
139,8039.401
140,8039.185
141,8038.939
142,8038.951
143,8038.963
144,8606.424
145,8606.438
146,8606.504
147,8604.933
148,8604.937
149,8605.007
150,8610.083
151,8610.047
152,8610.047
153,8609.57
154,8609.648
155,8609.648
156,8609.582
157,8610.33
158,8610.33
159,8609.598
160,8609.976
161,8750.066
162,9918.941
163,11142.832
164,12365.182
165,13587.508
166,13947.645
167,13939.221
168,14956.825
169,16127.166
170,17317.74
171,18523.3
172,19733.907
173,20952.368
174,21968.245
175,21973.829
176,21973.401
177,21946.644
178,21933.306
179,21933.308
180,21933.374
181,21936.22
182,21936.376
183,21936.421
184,21936.229
185,21936.253
186,21936.355
187,21934.749
188,21934.83
189,21934.11
190,21934.161
191,21935.78
192,21935.718
193,21930.45
194,21930.564
195,21930.609
196,21930.143
197,21917.006
198,21917.206
199,21917.254
200,21916.159
201,21916.159
202,21916.159
203,21915.686
204,22361.357
205,22427.73
206,22427.68
207,22427.68
208,22427.82
209,22427.832
210,22427.09
211,22427.09
212,22920.091
213,24129.883
214,24356.126
215,24356.13
216,24356.07
217,24356.106
218,24356.207
219,24355.589
220,24355.635
221,24355.635
222,24355.659
223,24355.725
224,24355.803
225,24355.741
226,24355.741
227,24354.158
228,24354.176
229,24354.528
230,24354.984
231,24354.711
232,24354.771
233,24353.942
234,24353.627
235,24867.689
236,24868.601
237,24868.613
238,24868.493
239,24868.505
240,24868.439
241,24868.439
242,24868.773
243,24868.678
244,24868.762
245,24868.708
246,24868.708
247,24868.708
248,24868.7
249,24867.96
250,24868.061
251,24868.061
252,24868.061
253,24868.061
254,25022.905
255,26237.41
256,26787.322
257,26787.322
258,26787.118
259,26787.135
260,26792.323
261,26792.143
262,26792.179
263,26792.185
264,26791.733
265,27300.364
266,27300.364
267,27298.691
268,27298.757
269,27298.823
270,27298.769
271,27298.769
272,27298.769
273,27297.772
274,27297.878
275,27297.868
276,27297.908
277,27298.056
278,27298.122
279,27297.39
280,27297.546
281,27298.527
282,27299.922
283,27298.482
284,27298.328
285,27298.352
286,27298.398
287,27298.398
288,27298.307
289,27298.399
290,27298.491
291,27298.491
292,27298.537
293,27298.537
294,27298.615
295,27846.406
296,27846.516
297,28318.827
298,29522.891
299,29776.283
300,29774.237
301,29773.049
302,29772.191
303,29771.837
304,29771.412
305,29770.887
306,29770.748
307,29770.436
308,29770.316
309,29769.273
310,29769.099
311,29768.835
312,29768.979
313,29767.773
314,29767.607
315,29772.813
316,29772.657
317,29772.429
318,29772.917
319,29772.917
320,29772.831
321,29772.766
322,29772.746
323,29772.677
324,29772.677
325,30312.661
326,30312.662
327,30312.662
328,30312.522
329,30312.408
330,30312.288
331,30312.222
332,30312.156
333,30312.18
334,30312.258
335,30312.126
336,30312.138
337,30312.108
338,30312.108
339,30499.313
340,31709.236
341,32238.38
342,32238.314
343,32237.732
344,32237.69
345,32237.702
346,32237.702
347,32237.636
348,32237.761
349,32237.719
350,32237.677
351,32237.719
352,32237.944
353,32237.449
354,32237.449
355,32761.168
356,32761.192
357,32761.192
358,32763.44
359,32763.661
360,32763.595
361,32763.595
362,32763.595
363,32763.645
364,32763.732
365,32763.666
366,32763.666
367,32763.658
368,32763.722
369,32762.275
370,32769.839
371,32769.839
372,32769.839
373,32775
374,32774.868
375,32775.612
376,32775.414
377,32771.391
378,32771.215
379,32770.933
380,32770.585
381,32770.315
382,32961.022
383,34173.397
384,35233.754
385,35233.692
386,35233.692
387,35233.626
388,35233.399
389,35233.345
390,35233.291
391,35233.159
392,35233.159
393,35232.584
394,35232.53
395,35232.5
396,35232.536
397,35232.56
398,35235.044
399,35234.321
400,35234.279
401,35234.249
402,35237.369
403,35507.676
404,35507.688
405,35507.7
406,35507.7
407,35507.468
408,35507.535
409,35507.535
410,35507.469
411,35507.469
412,35507.469
413,35507.469
414,35662.89
415,36061.614
416,36061.626
417,36061.626
418,36061.626
419,36061.523
420,36061.347
421,36061.511
422,36061.511
423,36061.511
424,36061.511
425,37164.022
426,38060.288
427,38060.288
428,38060.288
429,38059.556
430,38059.556
431,38059.535
432,38059.535
433,38058.534
434,38058.546
435,38058.624
436,38058.558
437,38058.558
438,38057.022
439,38057.08
440,38057.992
441,38057.996
442,38058.02
443,38058.044
444,38628.924
445,38629.026
446,38628.984
447,38628.984
448,38629.108
449,38629.12
450,38629.12
451,38629.054
452,38629.054
453,38629.066
454,38629.066
455,38622.679
456,38622.613
457,38622.613
458,38622.834
459,38622.192
460,38622.192
461,38622.138
462,38622.138
463,39419.069
464,40589.84
465,40589.918
466,40589.906
467,40589.906
468,40589.941
469,40589.941
470,40589.941
471,40589.887
472,40589.887
473,40589.377
474,40776.197
475,41154.675
476,41154.609
477,41154.609
478,41154.809
479,41157.204
480,41162.584
481,41162.518
482,41162.518
483,41162.518
484,41162.53
485,41162.604
486,41162.55
487,41156.121
488,41150.762
489,41150.03
490,41150.054
491,41150.012
492,41150.012
493,41149.462
494,41149.522
495,41149.6
496,41149.588
497,41149.619
498,41149.368
499,41149.152
500,41148.936
501,41148.654
502,41148.654
503,41148.654
504,41727.092
505,42223.66
506,43433.649
507,43802.455
508,43802.294
509,43802.294
510,43802.298
511,43802.214
512,43802.28
513,43801.77
514,43801.77
515,43801.848
516,43801.794
517,43801.794
518,43801.794
519,43803.687
520,43797.222
521,43797.156
522,43797.156
523,43797.156
524,43797.156
525,43797.246
526,43797.18
527,43797.18
528,43797.216
529,43797.228
530,43797.24
531,43797.186
532,43797.21
533,43796.652
534,43796.664
535,44376.863
536,44376.845
537,44376.845
538,44377.357
539,44379.311
540,44379.311
541,44379.245
542,44380.145
543,44380.157
544,44380.157
545,44380.235
546,44380.169
547,44380.169
548,44380.219
549,44379.669
550,44379.669
551,44379.673
552,44378.64
553,45170.419
554,46376.649
555,46493.234
556,46493.168
557,46493.078
558,46493.468
559,46496.082
560,46496.082
561,46496.016
562,46496.028
563,46495.503
564,46989.04
565,47064.45
566,47064.384
567,47064.488
568,47064.338
569,47064.338
570,47064.35
571,47064.284
572,47064.33
